name,price_usd,price_btc,total_supply,market_cap_usd,available_supply,usd_raised,eth_price_launch,btc_price_launch,ico_duration,month,day,country,output
0x,1.71456,0.00019931,1000000000,905793616,528295082,24000000,297.63,3420.4,7,8,9,182,1.08
aeron,1.22932,0.0001429,20000000,15981160,13000000,4909918,383.47,4701.76,60,9,1,28,2.19
agrello,0.235535,0.00002738,130271020,20251034,85978873,35000000,169.57,1991.98,32,7,16,51,0.900269
aigang,0.179493,0.00002087,29274567,3468023,19321214,4000000,337.96,6634.76,30,11,15,155,0.182311
aion,2.77641,0.00032274,465934587,369466427,133073439,7844389,297.48,4408.46,28,10,3,29,2.09
airswap,0.37802,0.00004394,500000000,56703000,150000000,36266942,297.6,4776.21,1,10,10,194,0.243607
airtoken,0.00752848,0.00000088,1491492558,7904904,1050000000,15000000,292.77,4229.88,2,10,5,182,0.00706
alis,0.170763,0.00001985,75209200,6626512,38805314,3842394,383.47,4701.76,28,9,1,86,0.462478
ambrosus,0.583651,0.00006785,361477438,84390667,144590975,32229228,297.6,4776.21,12,10,10,33,0.264355
aphelion,0.335095,0.00003895,70188440,12171675,36323057,4780661,337.96,6634.76,22,11,15,61,0.556096
atlant,0.178325,0.00002073,54175041,6696443,37551901,6643081,333.52,4589.14,54,9,7,148,0.348067
aventus,1.43458,0.00016676,10000000,8607480,6000000,20060400,313.8,4376.59,0,9,6,61,1.95
b2bx,0.647732,0.0000753,19822337,10574861,16325982,5836721,302.48,4395.81,46,10,2,148,0.396967
bitdice,0.0860252,0.00001,100000000,6021764,70000000,8746735,298.03,4066.1,31,8,14,39,0.212746
bitjob,0.0202216,0.00000235,200000000,971526,48043991,2771455,294.63,4168.88,31,9,12,78,0.054637
blockcat,0.58165,0.00006761,9200151,4281014,7360121,7034927,199.71,2230.12,34,7,15,29,5.26
blockv,0.0393993,0.00000458,3646271241,60337424,1531433921,21478865,314.54,5583.74,5,10,19,33,0.045704
bodhi,0.968146,0.00011254,100000000,38725840,40000000,24000000,354.09,8039.07,2,11,20,37,1.28
chainlink,0.479569,0.00005575,1000000000,167849150,350000000,32000000,293.66,4073.79,0,9,19,182,0.371102
change,0.183509,0.00002133,79184116,6810017,37109987,17500000,250.87,3637.75,30,9,16,51,0.235572
chronobank,12.9603,0.00150657,710113,9203275,710113,5400000,8.24,780.07,62,12,15,10,20.1
cindicator,0.0810719,0.00000942,2000000005,117228070,1445976590,15000000,294.63,4168.88,12,9,12,182,0.090391
